"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"174",2016-03-20,9,26,38,35,48,33,51,15,33,38,31,45,65,51,28,50,11,25,24,48,33,22,34,14,51,14,49,59,0,30,51,37,42,34,63,31,38,45,38,24,25,0,34,38,46,22,46,55,52,44,62
"175",2016-03-27,43,26,26,11,54,54,78,26,30,38,40,33,19,22,30,47,61,21,9,33,23,27,33,21,42,22,57,22,24,38,39,45,19,58,55,40,22,34,26,40,32,0,59,38,42,22,42,64,43,41,0
"176",2016-04-03,47,0,29,11,43,44,49,30,26,39,24,53,18,35,32,42,32,30,46,16,23,40,16,14,15,27,38,43,23,24,56,36,25,46,50,27,36,36,34,15,52,28,37,46,11,22,37,32,39,38,32
"177",2016-04-10,28,39,17,37,41,37,40,15,20,44,47,32,13,33,52,43,18,47,22,25,22,33,65,29,32,28,47,41,46,34,39,65,32,40,45,25,42,30,32,16,25,0,34,37,36,34,29,51,49,36,31
"178",2016-04-17,38,0,34,37,48,19,36,15,6,30,39,0,31,34,23,21,36,30,26,36,23,26,54,30,31,36,43,41,46,32,38,13,37,30,45,29,14,30,33,25,24,14,28,39,26,50,25,26,17,33,31
"179",2016-04-24,52,0,29,20,46,29,25,15,16,50,39,21,36,39,13,26,24,21,35,49,43,13,32,15,31,21,51,22,0,30,33,17,29,42,47,17,43,10,22,24,16,14,20,28,31,45,36,36,16,27,30
"180",2016-05-01,29,66,20,21,35,27,41,15,16,32,26,32,12,29,39,27,31,34,32,0,23,27,27,28,26,14,42,27,25,22,11,40,27,31,32,23,37,17,28,23,31,15,35,34,42,22,23,24,25,28,32
"181",2016-05-08,15,0,15,26,35,36,22,31,17,48,44,44,19,31,30,44,25,52,23,33,46,13,22,43,19,15,53,43,25,18,29,33,36,27,40,20,31,27,27,0,26,15,21,31,28,24,30,16,0,24,31
"182",2016-05-15,25,0,34,21,42,30,22,46,17,43,32,65,31,45,34,23,38,30,37,50,0,14,11,28,25,0,42,28,26,24,47,32,26,46,43,34,46,60,32,17,35,0,38,34,16,24,49,28,35,25,0
"183",2016-05-22,41,0,47,16,35,29,22,16,14,36,29,68,13,29,32,17,53,23,28,17,23,14,28,23,25,23,38,35,26,25,18,42,16,19,42,17,48,21,28,17,33,16,21,24,27,0,34,18,36,16,33
"184",2016-05-29,15,28,31,17,34,21,46,0,18,30,44,23,41,27,23,19,42,28,23,17,25,29,0,15,18,47,22,24,0,21,30,29,24,28,22,25,16,44,25,18,23,33,42,30,29,26,30,37,0,33,0
"185",2016-06-05,55,27,15,28,25,20,31,24,7,40,42,22,26,19,19,13,0,27,51,33,24,36,39,44,15,15,28,22,0,19,18,33,18,23,30,30,0,18,35,17,30,0,21,38,17,0,17,20,0,30,0
"186",2016-06-12,24,0,15,17,30,23,18,17,7,39,25,0,13,23,29,12,13,14,23,26,0,14,11,31,29,0,28,32,0,29,47,39,24,19,30,17,0,28,24,18,10,0,12,30,11,0,27,41,18,30,34
"187",2016-06-19,20,0,28,12,40,34,9,0,29,37,28,56,26,28,36,25,56,18,19,26,24,28,16,16,26,0,31,21,27,11,24,35,26,20,23,15,32,21,31,36,23,16,18,34,23,0,25,37,36,37,0
"188",2016-06-26,35,27,16,58,30,25,23,16,21,34,14,33,20,35,18,31,27,18,28,17,48,36,22,0,24,0,29,32,27,23,12,20,15,17,23,8,40,32,22,0,10,32,9,30,11,26,30,44,37,20,0
"189",2016-07-03,26,28,17,12,23,39,38,15,37,41,37,0,14,34,0,26,29,27,20,17,0,45,23,32,24,24,25,27,0,20,24,16,30,12,30,8,17,18,24,18,13,17,43,31,24,27,26,33,54,14,0
"190",2016-07-10,25,27,22,11,35,32,14,16,16,31,27,44,0,14,15,19,21,14,19,25,23,14,33,16,20,23,32,30,0,22,12,34,9,13,36,15,16,21,23,27,26,16,36,21,17,79,14,20,18,20,0
"191",2016-07-17,25,53,28,11,30,20,27,16,35,34,16,44,27,18,22,12,0,27,9,16,0,15,11,15,22,22,46,28,0,18,35,32,15,22,30,20,40,25,23,0,26,0,33,19,11,0,15,31,18,10,0
"192",2016-07-24,20,26,9,11,35,14,25,16,27,28,11,22,13,23,14,31,21,31,28,24,23,36,16,0,16,15,29,32,27,24,24,9,29,23,26,10,55,32,30,18,19,0,18,22,45,0,22,19,35,23,0
"193",2016-07-31,25,0,26,29,26,15,18,24,12,41,23,44,27,17,22,25,14,22,33,32,0,29,11,15,21,30,33,21,0,19,18,23,21,22,27,10,24,25,16,0,10,24,12,24,17,26,28,17,18,47,0
"194",2016-08-07,52,27,13,24,30,15,9,0,28,30,20,22,0,22,21,13,34,10,19,24,24,14,22,16,19,16,26,17,55,18,37,23,21,30,18,10,16,22,21,28,20,0,19,15,29,0,29,22,36,17,0
"195",2016-08-14,31,0,43,12,33,19,20,0,19,44,24,59,0,16,14,26,28,23,20,0,25,21,0,0,24,0,32,18,28,18,50,58,10,20,28,21,24,23,14,0,27,0,25,18,12,0,38,27,18,14,35
"196",2016-08-21,44,27,37,11,37,26,9,16,25,34,47,22,13,26,27,12,12,27,23,17,24,28,17,16,15,38,29,31,26,19,29,24,21,19,35,16,22,35,29,18,22,16,42,22,34,0,21,23,34,10,66
"197",2016-08-28,32,0,38,10,40,30,26,0,21,36,48,41,0,33,48,21,46,43,40,16,33,26,11,15,14,65,33,27,84,27,44,19,20,29,11,22,43,40,21,0,24,0,32,39,32,0,32,16,32,27,31
"198",2016-09-04,14,26,36,35,50,28,13,15,21,42,33,65,19,40,32,49,29,17,40,16,0,46,42,22,22,37,45,33,0,39,17,18,34,10,39,20,43,37,21,0,27,14,41,46,22,49,25,25,16,31,31
"199",2016-09-11,27,25,41,24,51,24,25,0,14,33,24,31,23,38,22,53,23,25,39,23,22,31,31,58,19,51,52,47,0,39,27,23,44,31,31,28,28,39,42,23,26,20,39,43,21,0,30,61,48,45,30
"200",2016-09-18,54,0,35,21,47,38,33,29,24,32,44,21,23,41,51,26,38,25,26,38,21,19,25,21,29,43,47,34,45,29,44,55,42,40,48,39,21,43,38,30,17,13,31,42,51,23,28,49,16,45,0
"201",2016-09-25,27,0,29,20,56,41,29,14,24,54,36,43,24,44,50,32,22,46,31,62,44,26,25,43,53,22,76,24,23,21,39,52,47,44,61,45,43,13,48,0,18,14,28,32,47,23,38,57,24,51,30
"202",2016-10-02,13,26,44,10,50,32,45,29,21,34,35,42,17,37,38,32,33,26,30,15,53,26,15,36,68,21,60,43,23,30,33,70,19,49,59,23,28,49,34,38,12,13,48,36,31,23,36,49,24,39,30
"203",2016-10-09,23,39,30,36,38,30,25,0,28,58,38,44,35,23,36,27,34,39,27,46,22,26,34,71,54,58,61,45,0,25,39,67,40,30,68,32,29,23,35,16,10,0,27,41,53,0,32,62,16,33,0
"204",2016-10-16,19,27,33,11,44,42,29,15,26,35,24,0,24,29,39,27,51,13,54,30,45,52,24,21,31,22,46,30,24,24,46,36,25,39,49,19,44,50,36,15,27,14,37,41,43,0,33,49,24,48,31
"205",2016-10-23,23,27,29,38,37,44,25,30,39,38,22,64,0,40,32,37,34,21,22,15,33,26,30,49,34,14,52,42,0,39,17,48,47,47,41,37,44,43,36,37,30,14,39,36,26,23,49,38,16,36,31
"206",2016-10-30,54,27,29,16,53,29,12,15,18,44,43,65,29,36,28,31,17,24,26,62,33,26,20,28,32,29,55,43,23,39,11,44,44,25,39,46,14,36,15,15,36,14,28,34,42,46,33,53,16,35,0
"207",2016-11-06,35,0,30,29,42,33,43,14,20,42,48,31,11,37,50,35,28,24,28,29,21,30,38,27,28,28,49,56,22,49,16,51,40,35,59,30,20,9,27,15,23,13,35,33,24,22,37,37,15,34,0
"208",2016-11-13,67,26,31,21,54,32,28,22,25,43,41,21,11,43,43,30,54,41,38,31,21,12,59,35,26,42,50,43,0,35,44,31,47,42,59,25,42,44,34,15,35,13,41,36,30,35,45,42,55,38,0
"209",2016-11-20,71,0,61,55,45,34,21,15,25,26,73,61,12,41,39,44,37,50,41,16,57,26,41,21,26,22,62,55,47,36,58,40,41,45,45,30,38,40,28,24,22,28,37,51,26,0,55,50,33,28,32
"210",2016-11-27,17,25,55,24,55,40,34,21,70,53,70,19,43,38,49,29,48,49,39,29,30,42,33,13,31,26,45,54,43,25,41,48,56,47,49,13,77,48,32,14,36,19,37,46,48,0,37,36,29,44,28
"211",2016-12-04,33,50,54,43,57,27,38,14,22,40,56,29,36,45,60,38,25,38,19,14,59,24,57,26,33,13,54,53,40,39,55,38,65,51,47,26,26,32,43,21,25,12,67,47,37,21,18,73,0,44,27
"212",2016-12-11,76,25,66,25,57,30,31,0,41,55,53,40,37,58,38,39,60,59,37,22,20,18,58,27,40,19,58,40,32,56,26,43,45,38,64,32,48,57,41,14,46,25,36,46,29,22,39,48,68,44,57
"213",2016-12-18,72,55,56,52,66,46,67,23,22,58,67,31,36,54,73,32,43,52,40,41,22,68,52,43,49,14,71,51,24,51,87,66,44,40,66,36,38,60,54,77,39,14,53,56,48,24,50,64,41,51,31
"214",2016-12-25,56,28,47,29,87,45,40,38,34,54,70,60,30,69,65,67,50,50,48,58,44,49,25,28,74,57,64,63,24,53,63,67,82,46,73,67,30,44,50,32,31,15,73,59,81,45,46,72,32,53,31
"215",2017-01-01,52,55,43,57,86,51,57,14,41,59,59,31,33,78,63,36,46,54,37,39,61,68,38,40,48,34,87,57,23,54,32,65,69,66,63,56,55,70,56,22,25,13,36,56,45,22,49,84,60,57,86
"216",2017-01-08,34,26,48,54,74,35,88,14,44,46,50,39,46,60,47,59,44,38,59,30,0,57,32,33,49,40,70,50,21,37,26,34,33,52,72,45,60,63,54,35,19,19,45,54,51,22,55,65,65,67,28
"217",2017-01-15,62,25,26,34,60,55,51,55,44,62,54,77,51,55,34,33,85,38,42,29,0,37,37,46,49,33,70,50,22,58,50,58,41,73,56,58,65,27,44,48,33,12,35,47,71,83,43,79,29,36,43
"218",2017-01-22,33,25,70,14,63,58,70,14,35,58,65,38,10,61,51,19,48,37,39,14,59,61,32,39,58,39,66,67,0,49,50,55,30,38,70,45,38,76,46,26,27,0,45,49,32,31,49,95,28,47,42
"219",2017-01-29,93,50,59,52,73,48,66,27,36,54,63,59,26,57,75,70,37,59,27,36,19,30,41,32,52,33,68,47,53,57,70,42,49,56,60,44,57,69,59,13,37,31,44,66,64,0,45,83,28,81,0
"220",2017-02-05,60,50,57,57,59,55,27,0,10,71,50,48,15,60,31,62,49,29,74,35,38,36,28,38,62,52,79,92,53,61,100,80,34,63,69,65,57,66,55,20,45,25,83,72,55,51,59,64,42,78,0
"221",2017-02-12,66,49,68,33,53,48,46,26,47,56,77,38,31,56,53,52,66,84,58,58,39,24,37,52,56,45,81,70,32,58,99,51,58,56,85,46,31,75,58,44,37,13,83,68,46,41,33,42,49,74,28
"222",2017-02-19,69,25,33,52,72,43,39,13,26,53,63,29,25,61,40,51,16,39,46,78,58,36,36,25,53,52,54,78,63,56,55,46,32,43,54,38,51,56,56,27,53,12,52,41,51,20,51,62,35,72,27
"223",2017-02-26,39,24,44,49,62,57,47,12,37,49,46,18,58,49,54,40,45,55,31,0,18,23,45,39,32,37,51,49,39,36,23,49,50,33,75,46,43,45,37,30,25,12,54,46,57,20,34,55,87,47,51
"224",2017-03-05,43,72,40,53,57,73,37,19,26,45,48,56,20,43,44,32,31,35,51,41,19,18,27,25,38,38,53,61,20,40,53,42,28,21,36,37,55,51,24,12,26,18,43,41,40,20,39,52,28,44,26
"225",2017-03-12,49,25,38,36,52,34,47,13,23,52,33,47,35,55,62,20,27,35,40,49,19,41,27,13,36,57,58,60,43,41,53,63,44,43,61,25,41,38,48,32,25,12,36,41,45,42,34,49,46,39,28
"226",2017-03-19,25,0,41,38,53,24,46,27,38,45,58,60,16,32,63,28,35,29,31,14,40,31,32,0,20,28,54,58,52,32,34,39,57,49,57,37,45,27,38,19,47,12,29,37,68,20,42,49,50,47,0
"227",2017-03-26,43,0,38,24,48,25,34,27,22,46,42,20,33,38,50,32,27,40,20,42,40,47,41,12,40,26,57,46,31,37,48,21,22,34,57,43,64,24,25,33,26,13,36,35,18,40,38,40,21,36,29
"228",2017-04-02,28,61,48,33,60,24,53,13,25,47,42,38,26,32,41,37,16,31,31,42,39,42,40,25,32,13,58,35,42,23,44,36,29,30,50,31,13,26,29,25,31,13,26,44,33,41,31,51,21,38,0
"229",2017-04-09,38,100,38,19,45,29,42,21,33,52,30,29,31,29,41,43,28,31,17,15,20,54,24,40,37,0,56,38,22,35,45,28,16,36,53,33,53,28,26,34,32,13,49,32,37,0,27,38,47,17,0
"230",2017-04-16,42,0,36,19,44,24,34,14,26,40,40,19,31,27,32,39,49,19,12,39,20,37,27,26,41,13,37,27,21,41,25,43,27,44,31,39,40,30,21,0,19,38,42,36,42,22,40,31,15,31,27
"231",2017-04-23,49,25,23,23,49,26,23,20,19,27,29,29,31,32,45,14,20,23,24,14,58,12,31,34,37,39,39,19,21,27,39,39,37,36,46,35,39,42,25,26,24,0,37,40,41,23,19,40,15,21,26
"232",2017-04-30,49,25,31,19,41,33,38,13,9,43,31,49,0,28,31,57,37,37,23,0,20,24,18,19,25,26,49,41,0,31,35,48,20,18,40,19,39,33,30,26,30,0,42,28,28,21,32,42,15,19,27
"233",2017-05-07,17,26,58,25,44,10,47,40,24,42,24,20,16,41,36,30,23,27,28,22,21,31,28,20,20,13,48,37,22,23,26,60,49,39,42,17,20,31,31,14,34,27,38,32,30,22,36,39,23,34,26
"234",2017-05-14,27,28,30,27,45,41,21,14,31,32,39,32,22,31,35,32,48,21,39,32,22,26,48,28,50,50,37,20,24,31,22,33,27,33,28,13,14,43,26,22,21,14,23,25,41,0,30,35,25,20,27
"235",2017-05-21,27,28,54,22,39,28,8,28,23,42,26,44,12,18,26,16,31,25,13,31,22,20,28,14,19,15,46,29,25,11,11,17,21,44,42,20,15,21,39,15,47,14,20,28,43,24,23,31,16,24,30
"236",2017-05-28,37,29,35,11,43,19,51,14,10,41,30,45,12,20,28,41,37,35,26,31,23,36,39,27,37,15,47,35,26,24,40,21,36,22,37,28,22,21,34,30,12,15,29,22,33,0,26,45,17,31,33
"237",2017-06-04,31,0,22,33,31,28,21,0,26,42,24,44,11,36,30,29,10,34,34,15,22,20,24,34,19,14,54,34,50,22,11,32,42,52,31,16,14,37,33,29,35,29,22,26,31,24,18,34,0,34,0
"238",2017-06-11,36,0,28,17,39,26,46,0,20,38,33,22,23,24,20,22,10,29,17,16,22,26,39,28,23,0,42,32,24,18,22,29,29,20,30,16,35,23,23,14,20,14,39,38,27,0,27,44,25,18,29
"239",2017-06-18,25,0,24,16,26,17,25,14,21,34,43,0,0,16,10,16,31,47,16,16,43,52,22,21,30,20,34,22,36,23,43,37,21,14,30,11,14,25,21,14,22,14,32,24,20,24,18,32,32,15,0
"240",2017-06-25,41,0,17,0,25,31,27,15,16,43,36,67,12,27,30,11,23,22,26,16,22,27,19,14,19,28,30,39,0,31,11,17,28,26,25,28,0,27,19,0,23,15,17,21,16,100,31,26,17,25,31
"241",2017-07-02,10,28,12,23,35,13,37,0,25,34,24,44,24,23,32,24,16,22,23,31,0,57,14,0,25,15,45,25,0,20,35,40,26,13,35,25,15,14,26,16,30,0,23,34,27,0,21,24,0,16,0
"242",2017-07-09,32,0,11,11,32,28,31,14,11,30,25,22,12,21,13,45,28,8,13,0,21,27,28,14,22,28,42,34,0,17,11,22,22,35,16,23,29,30,13,60,23,14,31,33,16,25,25,25,33,18,28
"243",2017-07-16,55,41,43,0,35,25,22,14,11,44,26,21,12,25,26,22,24,12,40,15,21,20,19,0,28,14,29,30,24,17,28,21,14,11,23,23,14,37,19,15,17,0,22,25,21,25,26,20,16,18,0
"244",2017-07-23,36,0,31,16,38,26,18,41,7,39,37,65,12,21,10,11,0,29,18,15,0,13,19,28,23,21,27,25,25,27,27,16,13,31,35,7,14,23,15,29,11,0,32,32,32,0,35,32,0,18,27
"245",2017-07-30,31,0,22,16,34,27,21,0,7,40,12,21,17,22,41,33,21,24,8,21,30,13,18,0,35,13,42,36,23,39,11,32,34,22,27,15,14,25,24,14,8,0,32,21,20,24,19,23,32,35,27
"246",2017-08-06,17,26,21,36,33,24,13,13,7,43,33,31,33,22,18,16,42,20,33,0,20,38,18,13,33,20,35,30,0,29,26,23,52,20,37,22,27,22,25,14,16,13,24,29,10,24,30,42,16,38,0
"247",2017-08-13,43,0,48,10,31,17,22,14,20,33,44,42,11,23,30,43,37,19,8,14,20,0,19,27,16,27,31,18,24,28,21,8,32,31,39,18,53,25,12,28,14,13,37,22,36,0,23,40,15,21,0
"248",2017-08-20,45,38,53,24,37,28,22,13,30,41,41,59,11,31,60,10,18,37,36,15,20,35,9,14,22,58,31,42,0,22,20,23,32,25,41,9,32,15,28,28,16,0,48,27,20,24,18,36,37,42,25
"249",2017-08-27,69,26,50,29,43,16,17,13,26,55,60,0,16,32,46,39,35,41,47,22,0,0,35,27,35,20,34,28,33,41,30,31,34,35,40,18,63,30,20,14,13,13,35,21,29,35,22,15,29,18,0
"250",2017-09-03,36,26,36,25,41,26,24,0,29,30,42,39,16,42,49,30,18,30,37,0,19,24,22,45,26,53,41,24,45,44,46,31,31,37,49,20,26,32,35,52,18,0,43,45,53,0,21,28,22,35,0
"251",2017-09-10,43,25,32,24,38,46,28,39,42,39,29,39,25,43,44,37,27,22,36,21,38,23,17,19,32,13,66,39,21,40,44,19,32,32,45,21,25,26,45,25,18,18,32,41,37,65,38,19,43,39,25
"252",2017-09-17,36,51,27,24,43,26,47,39,38,44,44,39,15,35,43,28,44,44,28,48,39,29,26,25,15,38,47,43,21,48,29,37,32,46,56,37,25,27,45,24,34,12,35,44,51,22,40,45,36,43,74
"253",2017-09-24,29,26,36,10,50,33,24,26,27,32,33,20,21,30,42,29,23,15,32,0,50,36,55,19,41,19,62,49,32,22,25,49,43,61,44,31,52,45,32,62,21,12,38,41,33,0,48,43,73,30,26
"254",2017-10-01,36,26,46,23,54,19,16,26,34,44,37,30,21,28,30,23,23,34,12,43,39,29,31,45,43,13,55,31,21,27,34,31,46,44,49,22,19,47,25,25,16,12,33,27,37,0,39,50,15,36,0
"255",2017-10-08,48,25,29,29,42,48,35,50,48,41,44,41,10,34,23,28,9,45,24,14,49,12,22,25,35,32,50,34,21,29,39,44,58,36,29,34,26,30,31,13,26,25,21,38,37,31,31,63,35,38,26
"256",2017-10-15,25,52,26,19,57,68,47,0,34,37,45,30,20,37,29,24,23,56,40,14,41,24,36,38,36,32,52,35,22,47,40,48,45,36,28,36,26,42,39,19,16,0,38,38,43,0,32,38,36,38,26
"257",2017-10-22,49,0,41,19,42,22,47,32,27,33,59,20,26,42,54,43,34,29,59,0,0,24,27,19,30,45,51,45,0,31,48,59,28,46,42,27,25,39,38,13,31,25,35,46,39,21,37,54,14,41,0
"258",2017-10-29,33,26,36,33,43,29,51,26,26,54,51,20,31,51,47,28,36,25,32,23,39,29,40,52,42,0,63,47,21,28,34,33,43,36,50,15,19,66,39,20,26,12,40,57,28,22,38,70,14,37,26
"259",2017-11-05,51,52,53,23,57,66,58,25,29,57,50,20,10,43,52,27,38,50,35,14,29,62,50,38,47,55,71,37,41,30,66,29,55,41,51,45,31,38,43,39,33,12,35,42,32,31,32,47,21,44,26
"260",2017-11-12,53,29,40,40,55,41,64,51,20,61,60,69,40,56,62,46,30,24,27,31,43,64,36,21,45,54,68,59,57,40,53,33,56,61,57,35,28,56,43,45,32,13,71,52,52,23,42,80,23,60,45
