"","stateName","Code"
"1","alabama","AL"
"2","arizona","AR"
"3","arkansas","AR"
"4","california","CA"
"5","colorado","CO"
"6","connecticut","CT"
"7","delaware","DE"
"8","district of columbia","DC"
"9","florida","FL"
"10","georgia","GA"
"11","idaho","ID"
"12","illinois","IL"
"13","indiana","IN"
"14","iowa","IA"
"15","kansas","KS"
"16","kentucky","KY"
"17","louisiana","LA"
"18","maine","ME"
"19","maryland","MD"
"20","massachusetts:martha's vineyard","MA"
"21","massachusetts:main","MA"
"22","massachusetts:nantucket","MA"
"23","michigan:north","MI"
"24","michigan:south","MI"
"25","minnesota","MN"
"26","mississippi","MS"
"27","missouri","MO"
"28","montana","MT"
"29","nebraska","NE"
"30","nevada","NV"
"31","new hampshire","NH"
"32","new jersey","NJ"
"33","new mexico","NM"
"34","new york:manhattan","NY"
"35","new york:main","NY"
"36","new york:staten island","NY"
"37","new york:long island","NY"
"38","north carolina:knotts","NC"
"39","north carolina:main","NC"
"40","north carolina:spit","NC"
"41","north dakota","ND"
"42","ohio","OH"
"43","oklahoma","OK"
"44","oregon","OR"
"45","pennsylvania","PA"
"46","rhode island","RI"
"47","south carolina","SC"
"48","south dakota","SD"
"49","tennessee","TN"
"50","texas","TX"
"51","utah","UT"
"52","vermont","VT"
"53","virginia:chesapeake","VA"
"54","virginia:chincoteague","VA"
"55","virginia:main","VA"
"56","washington:san juan island","WA"
"57","washington:lopez island","WA"
"58","washington:orcas island","WA"
"59","washington:whidbey island","WA"
"60","washington:main","WA"
"61","west virginia","WV"
"62","wisconsin","WI"
"63","wyoming","WY"